Site,Plot,Trtmnt,Block,Burrow_I,Burrow_F,Burrow_Ch,Species,Height_I,Height_F,Height_Ch,OM_I,OM_F,OM_Ch,Nitrate_I,Nitrate_F,Nitrate_Ch,Amm_I,Amm_F,Amm_Ch,Mineral_NH4,Mineral_NO3
Florida GTMNERR,B1,Control,1,51,63,0.235294118,Black,54.61,59.69,0.093023256,1.533446106,3.513273185,1.291096617,3.399669222,8.995247578,1.645918468,0.25063196,0,-1,0.015295276,0.01808563
Florida GTMNERR,C1,Cage Control,1,33,82,1.484848485,White,60.96,66.04,0.083333333,4.020351329,2.629573171,-0.345934483,15.67005974,10.65626619,-0.319960079,0,0,0,0.021117126,0.050501969
Florida GTMNERR,E1,Exclusion Cage,1,20,55,1.75,White,88.9,93.98,0.057142857,2.487673071,2.835169755,0.139687441,14.65632787,11.70415179,-0.201426722,0.027671442,0,-1,0.017706693,0.047057087
Florida GTMNERR,B2,Control,2,24,27,0.125,Black,77.47,83.82,0.081967213,1.543324964,4.515704531,1.925958328,16.19733065,10.93368303,-0.324970067,0.091034521,0,-1,0.017224409,0.038410433
Florida GTMNERR,C2,Cage Control,2,28,37,0.321428571,Mixed,69.85,77.47,0.109090909,2.600674222,3.321565016,0.277193809,13.13294222,9.378141241,-0.285907066,2.012330844,0,-1,0.015054134,0.021737205
Florida GTMNERR,E2,Exclusion Cage,2,20,72,2.6,Black,49.53,42.33,-0.145366445,1.953895722,3.032789414,0.552175676,15.43970855,9.51661126,-0.383627532,2.701568027,0,-1,0.017086614,0.020531496
Florida GTMNERR,B3,Control,3,46,49,0.065217391,Black,74.93,86.36,0.152542373,2.931371494,4.828480401,0.647174509,16.80341576,9.195075279,-0.45278535,4.586980928,3.439870281,-0.250079664,0.025939961,0.019773622
Florida GTMNERR,C3,Cage Control,3,43,52,0.209302326,Black,81.28,91.44,0.125,4.393558446,4.069689101,-0.073714587,14.78199341,11.39942062,-0.228830625,8.462655776,6.611074325,-0.218794371,0.013917323,0.010954724
Florida GTMNERR,E3,Exclusion Cage,3,16,48,2,Black,72.39,78.74,0.087719298,3.275862069,3.845731312,0.173960085,16.71539106,12.29571622,-0.264407505,8.008251244,8.765774526,0.094592847,0.016259843,0.023390748
Florida GTMNERR,B4,Control,4,39,15,-0.615384615,Black,40.64,40.64,0,5.073924615,3.32026946,-0.34562105,13.54949623,12.51322229,-0.076480625,4.713019841,0.680843337,-0.855539896,0.01429626,0.034207677
Florida GTMNERR,C4,Cage Control,4,44,47,0.068181818,White,48.895,52.07,0.064935065,3.075300066,2.921585416,-0.049983627,13.19329671,9.441594298,-0.284364287,1.038459715,3.918292065,2.773176762,0.019911417,0.016466535
Florida GTMNERR,E4,Exclusion Cage,4,68,30,-0.558823529,Black,43.18,45.72,0.058823529,4.849738375,4.332883567,-0.106573751,13.05486542,12.4636848,-0.045284314,7.583895016,1.346323838,-0.82247594,0.009197835,0.013641732
Florida GTMNERR,B5,Control,5,32,21,-0.34375,Black,66.04,66.04,0,1.841625068,2.850440268,0.547785332,11.90256021,12.05857088,0.01310732,2.876628964,5.727462618,0.991032799,0.017362205,0.018877953
Florida GTMNERR,C5,Cage Control,5,64,18,-0.71875,Black,88.9,88.9,0,3.105057809,3.278726558,0.055930923,9.741029874,10.1503504,0.042020251,2.373518075,3.259933589,0.373460613,0.017741142,0.009817913
Florida GTMNERR,E5,Exclusion Cage,5,53,26,-0.509433962,Black,60.96,60.96,0,2.162655442,3.181461537,0.471090343,11.83706635,9.52284849,-0.195506031,4.055963623,10.05245187,1.478437383,0.051087598,0.029143701
Florida GTMNERR,B6,Control,6,51,43,-0.156862745,Black,116.84,119.38,0.02173913,2.610620031,3.183921082,0.219603406,15.42485023,12.26715678,-0.204714691,8.549724573,9.163530612,0.071792493,0.009473425,0.021599409
Florida GTMNERR,C6,Cage Control,6,38,73,0.921052632,White,100.33,99.06,-0.012658228,3.114675627,1.925071815,-0.381935057,10.16968472,10.01578299,-0.015133383,2.259652064,8.37166359,2.7048463,0.046540354,0.048745079
Florida GTMNERR,E6,Exclusion Cage,6,49,69,0.408163265,Black,127,132.08,0.04,2.041990221,3.228462134,0.58103702,11.10625786,14.00132914,0.260670273,2.199578491,4.833681585,1.197549032,0.039443898,0.025629921
